Date,Time,CO (ppm),NO2 (ppm),CO2 (ppm),TVOC (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB),Activity
04-09-2024,19:12:00,$,$,400,225,51,71,76,34.4,18.2,51.3,No Cooking
04-09-2024,19:12:06,$,$,400,231,51,72,76,34.4,18.2,51.81,No Cooking
04-09-2024,19:12:12,$,$,400,234,51,72,76,34.4,18.2,50.06,No Cooking
04-09-2024,19:12:17,$,$,400,239,50,71,76,34.4,18.2,56.46,No Cooking
04-09-2024,19:12:23,$,$,400,229,50,71,76,34.4,18.2,56.22,No Cooking
04-09-2024,19:12:28,$,$,400,232,51,72,77,34.4,18.2,54.78,No Cooking
04-09-2024,19:12:34,$,$,400,234,51,73,78,34.4,18.2,54.05,No Cooking
04-09-2024,19:12:39,$,$,400,239,50,71,76,34.4,18.2,55.91,No Cooking
04-09-2024,19:12:45,$,$,400,235,50,71,76,34.4,18.2,56.11,No Cooking
04-09-2024,19:12:51,$,$,400,237,51,72,76,34.4,18.2,54.87,No Cooking
04-09-2024,19:12:56,$,$,400,226,51,72,76,34.4,18.2,53.58,No Cooking
04-09-2024,19:13:02,$,$,400,228,50,72,75,34.4,18.2,54.24,No Cooking
04-09-2024,19:13:07,$,$,400,222,49,71,74,34.4,18.2,51.44,No Cooking
04-09-2024,19:13:13,$,$,400,226,49,70,74,34.4,18.2,51.8,No Cooking
04-09-2024,19:13:19,$,$,400,224,49,71,76,34.4,18.2,52.51,No Cooking
04-09-2024,19:13:24,$,$,400,227,49,71,76,34.4,18.2,54.6,No Cooking
04-09-2024,19:13:30,$,$,400,226,48,71,75,34.4,18.2,50.1,No Cooking
04-09-2024,19:13:35,$,$,400,226,48,71,76,34.4,18.2,54.98,No Cooking
04-09-2024,19:13:41,$,$,400,228,50,72,77,34.4,18.2,54.31,No Cooking
04-09-2024,19:13:46,$,$,400,223,49,71,77,34.4,18.2,54.7,No Cooking
04-09-2024,19:13:52,$,$,400,225,50,71,78,34.4,18.2,56.99,No Cooking
04-09-2024,19:13:58,$,$,400,219,51,71,78,34.4,18.2,56,No Cooking
04-09-2024,19:14:03,$,$,400,225,51,72,79,34.4,18.2,55.56,No Cooking
04-09-2024,19:14:09,$,$,400,223,51,72,79,34.4,18.2,51.14,No Cooking
04-09-2024,19:14:14,$,$,400,218,51,72,79,34.4,18.2,53.05,No Cooking
04-09-2024,19:14:20,$,$,400,216,51,72,79,34.4,18.2,51.82,No Cooking
04-09-2024,19:14:25,$,$,400,218,51,72,79,34.4,18.2,52.17,No Cooking
04-09-2024,19:14:31,$,$,400,220,51,72,79,34.4,18.2,56.72,No Cooking
04-09-2024,19:14:37,$,$,400,214,51,72,79,34.4,18.2,56.99,No Cooking
04-09-2024,19:14:42,$,$,400,220,51,72,80,34.4,18.2,52.91,No Cooking
04-09-2024,19:14:48,$,$,400,212,52,73,80,34.4,18.2,52.85,No Cooking
04-09-2024,19:14:53,$,$,400,212,52,73,80,34.4,18.2,56.97,No Cooking
04-09-2024,19:14:59,$,$,400,212,52,73,80,34.4,18.2,50.53,No Cooking
04-09-2024,19:15:05,$,$,400,209,52,73,80,34.4,18.2,55.21,No Cooking
04-09-2024,19:15:10,$,$,400,206,52,73,80,34.4,18.2,50.05,No Cooking
04-09-2024,19:15:16,$,$,400,209,52,72,80,34.5,18.2,54.61,No Cooking
04-09-2024,19:15:21,$,$,400,201,52,72,79,34.5,18.2,50.23,No Cooking
04-09-2024,19:15:27,$,$,400,205,53,71,79,34.5,18.2,51.36,No Cooking
04-09-2024,19:15:32,$,$,400,206,53,71,79,34.5,18.2,52.45,No Cooking
04-09-2024,19:15:38,$,$,400,204,53,71,78,34.5,18.2,56.74,No Cooking
04-09-2024,19:15:44,$,$,400,204,53,71,78,34.5,18.2,52.18,No Cooking
04-09-2024,19:15:49,$,$,400,199,54,72,79,34.5,18.2,52.64,No Cooking
04-09-2024,19:15:55,$,$,400,204,53,71,79,34.5,18.2,54.67,No Cooking
04-09-2024,19:16:00,$,$,400,201,53,72,79,34.5,18.2,53.39,No Cooking
04-09-2024,19:16:06,$,$,400,199,53,72,79,34.5,18.2,53.21,No Cooking
04-09-2024,19:16:12,$,$,400,205,53,73,79,34.5,18.2,53.75,No Cooking
04-09-2024,19:16:17,$,$,400,197,53,73,79,34.5,18.2,53.59,No Cooking
04-09-2024,19:16:23,$,$,400,203,53,72,79,34.5,18.2,52.44,No Cooking
04-09-2024,19:16:28,$,$,400,199,52,72,78,34.5,18.2,56.84,No Cooking
04-09-2024,19:16:34,$,$,400,197,51,71,77,34.5,18.2,55.1,No Cooking
04-09-2024,19:16:39,$,$,400,200,51,71,77,34.5,18.2,51.24,No Cooking
04-09-2024,19:16:45,$,$,400,198,51,71,76,34.5,18.2,53.66,No Cooking
04-09-2024,19:16:51,$,$,400,191,51,71,76,34.5,18.2,52.32,No Cooking
