Date,Time,CO (ppm),NO2 (ppm),CO2 (ppm),TVOC (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB) [Mobile],Activity
04-09-2024,21:33:38,$,$,417,0,49,73,81,33.6,17.7,62.48,Boiling
04-09-2024,21:33:44,$,$,417,0,48,72,80,33.6,17.7,59.31,Boiling
04-09-2024,21:33:49,$,$,416,0,49,72,80,33.6,17.8,63.24,Boiling
04-09-2024,21:33:55,$,$,415,0,49,71,79,33.6,17.7,67.62,Boiling
04-09-2024,21:34:01,$,$,415,0,48,71,79,33.6,17.8,58.83,Boiling
04-09-2024,21:34:06,$,$,415,0,48,70,78,33.6,17.8,58.83,Boiling
04-09-2024,21:34:12,$,$,415,0,48,70,78,33.6,17.8,67.9,Boiling
04-09-2024,21:34:17,$,$,414,0,48,70,78,33.6,17.7,63.84,Boiling
04-09-2024,21:34:23,$,$,413,0,48,70,78,33.6,17.7,57.65,Boiling
04-09-2024,21:34:28,$,$,412,0,48,71,77,33.6,17.7,62.71,Boiling
04-09-2024,21:34:34,$,$,412,0,49,72,78,33.6,17.8,57.68,Boiling
04-09-2024,21:34:40,$,$,412,0,48,71,77,33.6,17.8,57.67,Boiling
04-09-2024,21:34:45,$,$,411,0,47,71,76,33.6,17.8,61.21,Boiling
04-09-2024,21:34:51,$,$,411,0,47,71,76,33.6,17.7,50.43,Boiling
04-09-2024,21:34:56,$,$,411,0,47,70,76,33.6,17.7,51.38,Boiling
04-09-2024,21:35:02,$,$,410,0,47,70,76,33.6,17.8,57.19,Boiling
04-09-2024,21:35:07,$,$,410,0,47,70,76,33.6,17.8,54.94,Boiling
04-09-2024,21:35:13,$,$,410,0,47,70,76,33.6,17.7,61.57,Boiling
04-09-2024,21:35:19,$,$,411,0,47,70,76,33.6,17.8,55.46,Boiling
04-09-2024,21:35:24,$,$,411,0,47,70,75,33.6,17.8,52.94,Boiling
04-09-2024,21:35:30,$,$,411,0,47,70,75,33.6,17.8,67.33,Boiling
04-09-2024,21:35:35,$,$,411,0,48,70,75,33.6,17.8,58.87,Boiling
04-09-2024,21:35:41,$,$,412,0,48,70,75,33.6,17.8,60.34,Boiling
04-09-2024,21:35:47,$,$,414,0,48,70,74,33.7,17.8,52.88,Boiling
04-09-2024,21:35:52,$,$,415,0,48,70,74,33.7,17.8,57.28,Boiling
04-09-2024,21:35:58,$,$,417,0,48,70,74,33.7,17.8,60.55,Boiling
04-09-2024,21:36:03,$,$,419,0,48,70,74,33.7,17.8,54.25,Boiling
04-09-2024,21:36:09,$,$,423,0,49,71,75,33.7,17.8,61.88,Boiling
04-09-2024,21:36:14,$,$,427,0,49,71,75,33.7,17.8,57,Boiling
04-09-2024,21:36:20,$,$,434,0,48,70,73,33.7,17.8,58.54,Boiling
04-09-2024,21:36:26,$,$,440,0,49,70,73,33.7,17.8,56.99,Boiling
04-09-2024,21:36:31,$,$,446,0,50,71,73,33.7,17.9,69.26,Boiling
04-09-2024,21:36:37,$,$,452,0,49,69,72,33.7,17.9,59.93,Boiling
04-09-2024,21:36:42,$,$,462,0,50,70,73,33.7,17.8,54.71,Boiling
04-09-2024,21:36:48,$,$,470,0,49,69,72,33.7,17.9,64.11,Boiling
04-09-2024,21:36:54,$,$,481,0,50,70,73,33.7,17.8,53.9,Boiling
04-09-2024,21:36:59,$,$,492,0,50,70,74,33.7,17.9,61.04,Boiling
04-09-2024,21:37:05,$,$,501,0,50,70,74,33.7,17.9,50.2,Boiling
04-09-2024,21:37:10,$,$,509,0,50,70,74,33.8,17.9,53.36,Boiling
04-09-2024,21:37:16,$,$,520,0,50,71,75,33.8,17.9,60.98,Boiling
04-09-2024,21:37:21,$,$,527,0,50,71,75,33.8,17.9,63.69,Boiling
04-09-2024,21:37:27,$,$,536,0,50,71,76,33.8,17.9,60.86,Boiling
04-09-2024,21:37:33,$,$,542,0,50,71,76,33.8,17.9,59.42,Boiling
04-09-2024,21:37:38,$,$,549,0,50,72,78,33.8,17.9,58.49,Boiling
04-09-2024,21:37:44,$,$,556,0,50,73,79,33.8,17.9,52.61,Boiling
04-09-2024,21:37:49,$,$,571,0,51,73,80,33.9,17.9,56.4,Boiling
04-09-2024,21:37:55,$,$,583,0,51,74,80,33.9,17.9,57.7,Boiling
04-09-2024,21:38:00,$,$,594,0,52,74,81,33.9,17.9,65.29,Boiling
04-09-2024,21:38:06,$,$,602,0,52,75,82,33.9,17.9,61.72,Boiling
04-09-2024,21:38:12,$,$,611,0,52,75,82,33.9,17.9,51.18,Boiling
04-09-2024,21:38:17,$,$,618,0,52,76,83,33.9,17.9,61.62,Boiling
04-09-2024,21:38:23,$,$,631,0,53,77,84,33.9,17.9,58.07,Boiling
04-09-2024,21:38:28,$,$,638,0,53,77,84,33.9,17.9,56.62,Boiling
04-09-2024,21:38:34,$,$,646,0,52,76,83,33.9,17.9,63.06,Boiling
04-09-2024,21:38:40,$,$,651,1,53,77,84,33.9,17.9,65.15,Boiling
04-09-2024,21:38:45,$,$,658,1,52,76,82,33.9,17.9,64.66,Boiling
04-09-2024,21:38:51,$,$,664,2,53,76,82,33.9,17.9,55.8,Boiling
04-09-2024,21:38:56,$,$,671,4,53,75,81,34,17.9,58.45,Boiling
04-09-2024,21:39:02,$,$,679,10,53,75,81,34,17.9,61.66,Boiling
04-09-2024,21:39:07,$,$,688,14,54,75,81,34,18,64.88,Boiling
04-09-2024,21:39:13,$,$,695,19,54,75,81,34,18,57.6,Boiling
04-09-2024,21:39:19,$,$,702,23,54,75,81,34,18,59.07,Boiling
04-09-2024,21:39:24,$,$,711,17,55,77,82,34,18,54.47,Boiling
04-09-2024,21:39:30,$,$,720,27,55,77,83,34,18,54.02,Boiling
04-09-2024,21:39:35,$,$,727,30,54,76,82,34,18,64.06,Boiling
04-09-2024,21:39:41,$,$,734,25,54,77,83,34.1,18,66.78,Boiling
04-09-2024,21:39:46,$,$,743,24,54,77,83,34.1,18,59.64,Boiling
04-09-2024,21:39:52,$,$,749,25,55,77,83,34.1,18.1,65.02,Boiling
04-09-2024,21:39:58,$,$,756,18,55,77,83,34.1,18,61.81,Boiling
04-09-2024,21:40:03,$,$,762,13,55,77,83,34.1,18.1,56.77,Boiling
04-09-2024,21:40:09,$,$,769,13,54,77,83,34.1,18.1,61.81,Boiling
04-09-2024,21:40:14,$,$,773,11,54,77,83,34.1,18,67.69,Boiling
04-09-2024,21:40:20,$,$,774,14,54,76,83,34.1,18.1,59.82,Boiling
