Date,Time,CO (ppm),NO2 (ppm),CO2 (ppm),TVOC (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB) [Mobile],Activity
05-09-2024,08:25:04,32.2,0.1,423,0,63,94,103,33.2,17.6,65.9,Frying and Boiling
05-09-2024,08:25:10,32.2,0.1,428,0,64,94,103,33.2,17.6,68.9,Frying and Boiling
05-09-2024,08:25:15,32.4,0.1,433,0,64,94,103,33.2,17.6,64.1,Frying and Boiling
05-09-2024,08:25:21,31.5,0.1,439,0,64,94,103,33.2,17.6,64.1,Frying and Boiling
05-09-2024,08:25:26,32.4,0.1,443,0,64,94,103,33.2,17.6,63.8,Frying and Boiling
05-09-2024,08:25:32,32.6,0.1,448,0,64,94,104,33.2,17.6,62.4,Frying and Boiling
05-09-2024,08:25:38,29.4,0.1,452,0,64,94,104,33.3,17.6,62.4,Frying and Boiling
05-09-2024,08:25:43,31.5,0.2,458,0,65,94,104,33.3,17.6,63.3,Frying and Boiling
05-09-2024,08:25:49,32.6,0.1,463,0,65,94,104,33.3,17.6,62.7,Frying and Boiling
05-09-2024,08:25:54,33.1,0.1,467,0,66,95,104,33.3,17.6,63,Frying and Boiling
05-09-2024,08:26:00,30.1,0.2,471,0,65,95,104,33.3,17.6,63,Frying and Boiling
05-09-2024,08:26:06,30.8,0.2,473,0,66,96,104,33.2,17.6,63.8,Frying and Boiling
05-09-2024,08:26:11,33.1,0.2,476,0,66,96,104,33.3,17.6,68.2,Frying and Boiling
05-09-2024,08:26:17,35.5,0.1,478,0,66,97,105,33.3,17.6,66.5,Frying and Boiling
05-09-2024,08:26:22,35.5,0.2,481,0,67,97,106,33.3,17.6,62.7,Frying and Boiling
05-09-2024,08:26:28,33.1,0.2,483,0,68,98,107,33.3,17.7,63.3,Frying and Boiling
05-09-2024,08:26:34,33.8,0.2,487,22,69,99,108,33.4,17.7,62.4,Frying and Boiling
05-09-2024,08:26:39,37.5,0.2,491,59,70,101,111,33.4,17.7,63,Frying and Boiling
05-09-2024,08:26:45,40.3,0.2,496,94,71,104,115,33.4,17.7,61.8,Frying and Boiling
