Date,Time,CO2 (ppm),TVOC (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB) [Mobile],Activity
07-09-2024,12:56:42,602,0,60,75,79,36.6,19.3,65,Frying
07-09-2024,12:56:48,602,0,71,91,93,36.6,19.2,79.11,Frying
07-09-2024,12:56:53,602,0,91,113,118,36.6,19.2,75.44,Frying
07-09-2024,12:56:59,602,0,108,143,150,36.6,19.2,73.5,Frying
07-09-2024,12:57:04,602,0,125,166,173,36.6,19.3,75.46,Frying
07-09-2024,12:57:10,602,0,148,195,200,36.6,19.3,65.06,Frying
07-09-2024,12:57:15,602,0,158,202,209,36.7,19.2,73.9,Frying
07-09-2024,12:57:21,602,0,160,204,214,36.6,19.3,76.79,Frying
07-09-2024,12:57:27,602,0,165,211,219,36.6,19.3,82.39,Frying
07-09-2024,12:57:32,602,0,168,214,223,36.7,19.3,72.41,Frying
07-09-2024,12:57:38,602,0,172,218,228,36.6,19.3,70.96,Frying
07-09-2024,12:57:43,602,0,175,221,231,36.6,19.3,72.49,Frying
07-09-2024,12:57:49,602,0,177,223,234,36.6,19.2,79.58,Frying
07-09-2024,12:57:55,602,0,180,225,235,36.6,19.3,76.64,Frying
07-09-2024,12:58:00,684,0,181,226,236,36.6,19.3,72.35,Frying
07-09-2024,12:58:06,684,0,182,226,236,36.6,19.3,77.57,Frying
07-09-2024,12:58:11,684,0,182,225,234,36.7,19.3,75.49,Frying
07-09-2024,12:58:17,685,0,183,227,235,36.7,19.3,79.84,Frying
07-09-2024,12:58:22,685,0,184,227,235,36.6,19.3,71.49,Frying
07-09-2024,12:58:28,685,0,183,227,235,36.7,19.3,73.36,Frying
07-09-2024,12:58:34,685,0,183,227,235,36.7,19.3,73.04,Frying
07-09-2024,12:58:39,720,0,183,227,235,36.7,19.3,67.68,Frying
07-09-2024,12:58:45,720,0,183,226,234,36.7,19.3,76.48,Frying
07-09-2024,12:58:50,720,0,182,225,233,36.7,19.3,76.31,Frying
07-09-2024,12:58:56,720,0,181,223,231,36.7,19.3,75.03,Frying
07-09-2024,12:59:02,720,0,179,220,228,36.7,19.3,73.83,Frying
07-09-2024,12:59:07,720,0,175,216,222,36.7,19.3,67.92,Frying
07-09-2024,12:59:13,720,0,171,211,217,36.7,19.3,72.9,Frying
07-09-2024,12:59:18,720,0,162,201,205,36.7,19.3,73.29,Frying
07-09-2024,12:59:24,721,0,136,174,179,36.6,19.3,70.99,Frying
07-09-2024,12:59:29,721,0,120,155,158,36.7,19.3,74.19,Frying
07-09-2024,12:59:35,721,0,117,150,154,36.7,19.3,77.02,Frying
