Date,Time,CO (ppm),NO2 (ppm),CO2 (ppm),TVOC (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB) [Mobile],Activity
08-09-2024,13:11:48,34,0.1,408,0,6,10,11,36.8,19.4,51.6,Frying
08-09-2024,13:11:54,34,0.1,408,0,6,10,11,36.8,19.4,53.72,Frying
08-09-2024,13:11:59,34,0.1,408,0,8,11,12,36.8,19.4,61.9,Frying
08-09-2024,13:12:05,31.1,0.1,408,0,7,10,11,36.8,19.4,63.5,Frying
08-09-2024,13:12:11,33.8,0.1,408,0,7,10,11,36.8,19.4,54.7,Frying
08-09-2024,13:12:16,34,0.1,408,0,8,12,12,36.9,19.4,52.4,Frying
08-09-2024,13:12:22,31.1,0.1,408,0,7,10,11,36.8,19.4,67.81,Frying
08-09-2024,13:12:27,31.1,0.1,408,0,7,10,11,36.9,19.4,54.92,Frying
08-09-2024,13:12:33,33.7,0.1,408,0,6,10,11,36.9,19.4,61.89,Frying
08-09-2024,13:12:39,33.8,0.1,408,0,6,10,11,36.9,19.4,62.39,Frying
08-09-2024,13:12:44,33.7,0.1,408,0,6,10,10,36.9,19.4,58.38,Frying
08-09-2024,13:12:50,30.6,0.1,408,0,6,10,10,36.9,19.4,61.67,Frying
08-09-2024,13:12:55,30.3,0.1,408,0,7,11,12,37,19.4,60.46,Frying
08-09-2024,13:13:01,33.7,0.1,408,0,7,11,12,37,19.4,68.69,Frying
08-09-2024,13:13:06,33.8,0.1,408,0,7,12,12,36.9,19.4,54.09,Frying
08-09-2024,13:13:12,33.7,0.1,408,0,7,12,12,37,19.5,64.32,Frying
08-09-2024,13:13:18,33.7,0.1,408,0,7,12,12,37,19.5,54.77,Frying
08-09-2024,13:13:23,33.7,0.1,408,0,6,11,11,37,19.5,57.92,Frying
08-09-2024,13:13:29,33.5,0.1,408,0,6,11,11,37,19.5,63.43,Frying
08-09-2024,13:13:34,33.7,0.1,408,0,6,11,11,37.1,19.5,56,Frying
08-09-2024,13:13:40,33.7,0.1,408,0,6,11,11,37,19.5,56.32,Frying
08-09-2024,13:13:46,33.7,0.1,408,0,7,11,11,37.1,19.5,65.04,Frying
08-09-2024,13:13:51,33.7,0.1,408,0,7,11,11,37.1,19.6,51.45,Frying
08-09-2024,13:13:57,33.8,0.1,408,0,7,11,11,37.2,19.6,59.17,Frying
08-09-2024,13:14:02,33.8,0.1,408,0,7,11,11,37.1,19.5,69.97,Frying
08-09-2024,13:14:08,33.8,0.1,408,0,7,11,11,37.1,19.6,69.92,Frying
08-09-2024,13:14:13,32.9,0.1,408,0,7,12,12,37.1,19.6,51.47,Frying
08-09-2024,13:14:19,32.9,0.1,408,0,16,22,22,37.2,19.6,54.26,Frying
08-09-2024,13:14:25,34,0.1,408,0,24,31,33,37.2,19.6,55.3,Frying
08-09-2024,13:14:30,34,0.1,408,0,25,33,34,37.2,19.6,68.67,Frying
08-09-2024,13:14:36,32.7,0.1,416,0,26,34,36,37.2,19.6,67.62,Frying
08-09-2024,13:14:41,32.7,0.1,419,0,27,36,36,37.2,19.6,67.59,Frying
08-09-2024,13:14:47,31.1,0.1,422,0,27,36,36,37.2,19.6,57.39,Frying
08-09-2024,13:14:53,31.5,0.1,429,0,27,36,36,37.2,19.6,53.15,Frying
08-09-2024,13:14:58,34,0.1,438,0,27,36,36,37.2,19.6,66.67,Frying
08-09-2024,13:15:04,33.1,0.1,445,0,27,36,37,37.2,19.6,64.07,Frying
08-09-2024,13:15:09,31.7,0.1,453,0,27,36,37,37.3,19.6,62.23,Frying
08-09-2024,13:15:15,31.7,0.1,459,0,27,36,40,37.2,19.6,69.74,Frying
08-09-2024,13:15:20,31.7,0.1,462,0,27,38,42,37.3,19.6,63.08,Frying
08-09-2024,13:15:26,34.6,0.1,464,0,27,40,43,37.3,19.6,50.16,Frying
08-09-2024,13:15:32,33.7,0.1,468,0,28,42,45,37.3,19.6,66.34,Frying
08-09-2024,13:15:37,30.3,0.1,473,0,29,42,45,37.3,19.6,55.99,Frying
08-09-2024,13:15:43,27.3,0.1,479,0,29,42,45,37.3,19.6,63.27,Frying
08-09-2024,13:15:48,34.8,0.1,481,0,29,42,45,37.3,19.6,68.78,Frying
08-09-2024,13:15:54,35,0.1,482,0,30,43,47,37.3,19.6,52.69,Frying
08-09-2024,13:16:00,34,0.1,482,0,30,44,48,37.3,19.6,52.31,Frying
08-09-2024,13:16:05,34.2,0.1,483,0,33,48,53,37.3,19.7,52.14,Frying
08-09-2024,13:16:11,34.4,0.1,484,0,36,52,57,37.4,19.6,61.06,Frying
08-09-2024,13:16:16,35.5,0.1,486,0,36,54,58,37.3,19.6,55.45,Frying
08-09-2024,13:16:22,35.5,0.1,489,0,37,55,59,37.3,19.7,62.1,Frying
