CO2 (ppm),TVOC (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB) [Mobile],Activity
401,110,36,49,52,34.1,18,51.12,No Cooking
401,108,36,49,52,34.1,18,53.99,No Cooking
401,108,37,50,53,34.1,18.1,54.09,No Cooking
401,106,36,49,53,34.1,18,51.1,No Cooking
401,102,37,51,55,34.1,18,51.58,No Cooking
400,104,37,52,56,34.1,18,50.72,No Cooking
400,106,37,53,57,34.1,18.1,52.5,No Cooking
400,104,36,52,56,34.1,18.1,55.86,No Cooking
400,97,37,53,58,34.1,18.1,56.87,No Cooking
401,102,36,53,57,34.1,18.1,56.13,No Cooking
401,103,36,52,57,34.1,18.1,50.09,No Cooking
400,225,51,71,76,34.4,18.2,51.3,No Cooking
400,231,51,72,76,34.4,18.2,51.81,No Cooking
400,234,51,72,76,34.4,18.2,50.06,No Cooking
400,239,50,71,76,34.4,18.2,56.46,No Cooking
400,229,50,71,76,34.4,18.2,56.22,No Cooking
400,232,51,72,77,34.4,18.2,54.78,No Cooking
400,234,51,73,78,34.4,18.2,54.05,No Cooking
400,239,50,71,76,34.4,18.2,55.91,No Cooking
400,235,50,71,76,34.4,18.2,56.11,No Cooking
400,237,51,72,76,34.4,18.2,54.87,No Cooking
400,226,51,72,76,34.4,18.2,53.58,No Cooking
400,228,50,72,75,34.4,18.2,54.24,No Cooking
400,222,49,71,74,34.4,18.2,51.44,No Cooking
400,226,49,70,74,34.4,18.2,51.8,No Cooking
400,224,49,71,76,34.4,18.2,52.51,No Cooking
400,227,49,71,76,34.4,18.2,54.6,No Cooking
400,226,48,71,75,34.4,18.2,50.1,No Cooking
400,226,48,71,76,34.4,18.2,54.98,No Cooking
400,228,50,72,77,34.4,18.2,54.31,No Cooking
400,223,49,71,77,34.4,18.2,54.7,No Cooking
400,225,50,71,78,34.4,18.2,56.99,No Cooking
400,219,51,71,78,34.4,18.2,56,No Cooking
400,225,51,72,79,34.4,18.2,55.56,No Cooking
400,223,51,72,79,34.4,18.2,51.14,No Cooking
400,218,51,72,79,34.4,18.2,53.05,No Cooking
400,216,51,72,79,34.4,18.2,51.82,No Cooking
400,218,51,72,79,34.4,18.2,52.17,No Cooking
400,220,51,72,79,34.4,18.2,56.72,No Cooking
400,214,51,72,79,34.4,18.2,56.99,No Cooking
400,220,51,72,80,34.4,18.2,52.91,No Cooking
400,212,52,73,80,34.4,18.2,52.85,No Cooking
400,212,52,73,80,34.4,18.2,56.97,No Cooking
400,212,52,73,80,34.4,18.2,50.53,No Cooking
400,209,52,73,80,34.4,18.2,55.21,No Cooking
400,206,52,73,80,34.4,18.2,50.05,No Cooking
400,209,52,72,80,34.5,18.2,54.61,No Cooking
400,201,52,72,79,34.5,18.2,50.23,No Cooking
400,205,53,71,79,34.5,18.2,51.36,No Cooking
400,206,53,71,79,34.5,18.2,52.45,No Cooking
400,204,53,71,78,34.5,18.2,56.74,No Cooking
400,204,53,71,78,34.5,18.2,52.18,No Cooking
400,199,54,72,79,34.5,18.2,52.64,No Cooking
400,204,53,71,79,34.5,18.2,54.67,No Cooking
400,201,53,72,79,34.5,18.2,53.39,No Cooking
400,199,53,72,79,34.5,18.2,53.21,No Cooking
400,205,53,73,79,34.5,18.2,53.75,No Cooking
400,197,53,73,79,34.5,18.2,53.59,No Cooking
400,203,53,72,79,34.5,18.2,52.44,No Cooking
400,199,52,72,78,34.5,18.2,56.84,No Cooking
400,197,51,71,77,34.5,18.2,55.1,No Cooking
400,200,51,71,77,34.5,18.2,51.24,No Cooking
400,198,51,71,76,34.5,18.2,53.66,No Cooking
400,191,51,71,76,34.5,18.2,52.32,No Cooking
400,192,51,71,76,34.5,18.2,53.65,No Cooking
400,190,51,71,76,34.5,18.2,55.08,No Cooking
400,194,51,71,76,34.5,18.2,50.91,No Cooking
400,187,51,71,76,34.4,18.2,50.79,No Cooking
400,188,51,72,77,34.5,18.2,54.44,No Cooking
400,183,51,72,77,34.5,18.2,55.8,No Cooking
400,185,51,73,77,34.5,18.2,51.19,No Cooking
400,184,51,73,77,34.5,18.2,51.18,No Cooking
400,181,51,72,77,34.5,18.2,55.9,No Cooking
400,187,51,72,76,34.5,18.2,55.66,No Cooking
400,185,50,72,76,34.6,18.2,55.55,No Cooking
400,184,50,72,76,34.5,18.2,52.39,No Cooking
400,179,50,72,77,34.5,18.2,56.99,No Cooking
400,180,50,72,77,34.5,18.2,50.73,No Cooking
400,176,50,73,78,34.5,18.2,55.11,No Cooking
400,179,50,73,78,34.5,18.2,50.26,No Cooking
400,177,50,73,78,34.5,18.2,50.78,No Cooking
400,176,50,73,79,34.5,18.2,54.35,No Cooking
400,179,50,73,79,34.5,18.2,52.31,No Cooking
400,176,50,73,79,34.5,18.2,53,No Cooking
400,176,50,73,79,34.5,18.2,54.02,No Cooking
400,176,50,72,79,34.5,18.2,55.76,No Cooking
400,167,50,72,79,34.5,18.2,52.35,No Cooking
400,168,49,72,79,34.5,18.2,54.77,No Cooking
400,159,49,72,78,34.6,18.2,54.01,No Cooking
400,168,49,72,78,34.5,18.2,55.62,No Cooking
400,167,51,73,79,34.5,18.2,51.38,No Cooking
400,167,50,72,77,34.5,18.2,55.63,No Cooking
400,167,49,71,77,34.6,18.2,50.66,No Cooking
400,166,49,71,76,34.5,18.2,56.95,No Cooking
400,169,50,72,76,34.5,18.2,54.73,No Cooking
400,167,50,72,76,34.6,18.2,50.33,No Cooking
400,167,49,71,75,34.5,18.2,51.12,No Cooking
400,157,50,72,76,34.5,18.2,53.99,No Cooking
400,158,49,71,75,34.5,18.2,54.09,No Cooking
400,160,51,72,77,34.6,18.2,51,No Cooking
400,155,50,71,76,34.5,18.2,51.58,No Cooking
400,156,50,71,76,34.5,18.2,50.72,No Cooking
400,153,51,72,77,34.5,18.2,52.5,No Cooking
400,159,51,73,78,34.6,18.2,55.86,No Cooking
400,157,50,72,77,34.6,18.2,56.87,No Cooking
400,148,50,71,76,34.5,18.2,56.13,No Cooking
400,149,50,72,76,34.5,18.2,50.09,No Cooking
400,143,51,72,76,34.6,18.3,54.78,No Cooking
400,143,51,72,76,34.6,18.3,53.62,No Cooking
400,144,51,72,76,34.7,18.3,50.48,No Cooking
400,143,52,72,77,34.6,18.3,56.33,No Cooking
400,143,52,73,77,34.6,18.3,53.27,No Cooking
